City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,5.82,93,91,11.0,TF,1682474385
1,kodiak,57.79,-152.4072,3.73,87,100,6.69,US,1682474449
2,westport,41.1415,-73.3579,10.49,66,66,0.45,US,1682474410
3,utrik,11.2278,169.8474,27.09,79,93,10.07,MH,1682474439
4,port mathurin,-19.6833,63.4167,25.84,79,13,6.2,MU,1682474441
5,yuzhno-kurilsk,44.0306,145.8556,5.51,88,100,11.84,RU,1682474542
6,chabahar,25.2919,60.643,24.91,64,7,2.78,IR,1682474542
7,edinburgh of the seven seas,-37.0676,-12.3116,15.03,69,84,12.55,SH,1682474385
8,san pedro pochutla,15.7333,-96.4667,27.62,64,46,3.53,MX,1682474432
9,namibe,-15.1961,12.1522,23.35,80,84,1.47,AO,1682474515
10,bethel,41.3712,-73.414,9.79,70,20,1.98,US,1682474387
11,anadyr,64.75,177.4833,-4.72,53,0,7.0,RU,1682474390
12,happy valley-goose bay,53.3168,-60.3315,4.17,65,75,4.63,CA,1682474405
13,bredasdorp,-34.5322,20.0403,13.75,89,95,1.23,ZA,1682474384
14,yellowknife,62.456,-114.3525,4.2,100,100,4.12,CA,1682474248
15,hawaiian paradise park,19.5933,-154.9731,27.8,75,5,0.89,US,1682474391
16,magadan,59.5667,150.8,0.92,71,32,1.33,RU,1682474543
17,albany,42.6001,-73.9662,6.4,75,3,1.8,US,1682474387
18,georgetown,5.4112,100.3354,29.96,89,20,2.57,MY,1682474179
19,porbandar,21.6422,69.6093,26.32,74,6,4.45,IN,1682474543
20,lerwick,60.1545,-1.1494,1.0,58,18,6.43,GB,1682474504
21,adamstown,-25.066,-130.1015,24.83,76,5,5.16,PN,1682474387
22,kattivakkam,13.2167,80.3167,29.48,86,19,3.98,IN,1682474544
23,iskateley,67.6803,53.1512,-6.29,87,11,6.06,RU,1682474400
24,nemuro,43.3236,145.575,5.55,88,100,13.7,JP,1682474462
25,choyr,46.3611,108.3611,8.47,32,100,4.34,MN,1682474545
26,corn island,12.1694,-83.0418,26.88,71,1,6.27,NI,1682474545
27,san antonio de pale,-1.4014,5.6325,27.84,74,100,2.09,GQ,1682474391
28,saint-philippe,-21.3585,55.7679,23.77,84,10,2.44,RE,1682474397
29,borogontsy,62.6683,131.1683,1.06,91,99,3.41,RU,1682474435
30,nagqu,31.5,92.0,-3.22,64,62,1.68,CN,1682474546
31,tura,25.5198,90.2201,29.59,31,53,1.05,IN,1682474443
32,bogotol,56.2078,89.5342,-1.3,80,98,2.57,RU,1682474547
33,carnarvon,-24.8667,113.6333,19.9,55,0,7.24,AU,1682474436
34,odessa,46.4775,30.7326,11.1,86,100,6.38,UA,1682474273
35,queensbury,53.7667,-1.9167,4.54,80,100,0.74,GB,1682474548
36,puerto natales,-51.7236,-72.4875,3.89,88,100,1.99,CL,1682474388
37,punta arenas,-53.15,-70.9167,6.06,75,75,6.69,CL,1682474374
38,parauapebas,-6.0675,-49.9022,22.57,93,100,0.89,BR,1682474481
39,diego de almagro,-26.3667,-70.05,16.55,53,1,0.54,CL,1682474549
40,nar'yan-mar,67.6713,53.087,-6.22,87,10,6.05,RU,1682474434
41,ishikawa,26.4233,127.8214,20.98,76,100,6.69,JP,1682474549
42,bilibino,68.0546,166.4372,-1.63,63,3,0.63,RU,1682474384
43,singkil,-7.9855,111.4161,29.03,73,65,1.43,ID,1682474550
44,dudinka,69.4058,86.1778,-0.21,96,100,4.22,RU,1682474430
